customer_id;customer_name;segment
CD-12280;Christina DeMoss;Consumer
BD-11320;Bill Donatelli;Consumer
AG-10390;Allen Goldenen;Consumer
JC-15775;John Castell;Consumer
DR-12940;Daniel Raglin;Home Office
EB-13840;Ellis Ballard;Corporate
VG-21790;Vivek Gonzalez;Consumer
TS-21340;Toby Swindell;Consumer
SW-20455;Shaun Weien;Consumer
GP-14740;Guy Phonely;Corporate
XP-21865;Xylona Preis;Consumer
JC-15340;Jasper Cacioppo;Consumer
CK-12205;Chloris Kastensmidt;Consumer
RM-19675;Robert Marley;Home Office
VF-21715;Vicky Freymann;Home Office
BP-11230;Benjamin Patterson;Consumer
JS-15595;Jill Stevenson;Corporate
LM-17065;Liz MacKendrick;Consumer
BN-11515;Bradley Nguyen;Consumer
RK-19300;Ralph Kennedy;Consumer
RD-19930;Russell D'Ascenzo;Consumer
MS-17770;Maxwell Schwartz;Consumer
MD-17350;Maribeth Dona;Consumer
YC-21895;Yoseph Carroll;Corporate
FC-14335;Fred Chung;Corporate
TB-21355;Todd Boyes;Corporate
AC-10450;Amy Cox;Consumer
DG-13300;Deirdre Greer;Corporate
KL-16645;Ken Lonsdale;Consumer
MG-17695;Maureen Gnade;Consumer
NR-18550;Nick Radford;Consumer
CJ-11875;Carl Jackson;Corporate
BM-11140;Becky Martin;Consumer
PC-18745;Pamela Coakley;Corporate
RP-19390;Resi Pölking;Consumer
LD-17005;Lisa DeCherney;Consumer
JR-16210;Justin Ritter;Corporate
DB-13660;Duane Benoit;Consumer
AS-10090;Adam Shillingsburg;Consumer
JK-15205;Jamie Kunitz;Consumer
AY-10555;Andy Yotov;Corporate
ES-14020;Erica Smith;Consumer
AR-10570;Anemone Ratner;Consumer
CH-12070;Cathy Hwang;Home Office
NP-18325;Naresj Patel;Consumer
SG-20605;Speros Goranitis;Consumer
GM-14455;Gary Mitchum;Home Office
KD-16495;Keith Dawkins;Corporate
DW-13480;Dianna Wilson;Home Office
JF-15415;Jennifer Ferguson;Consumer
LP-17080;Liz Pelletier;Consumer
BF-11080;Bart Folk;Consumer
FG-14260;Frank Gastineau;Home Office
MC-17425;Mark Cousins;Corporate
PR-18880;Patrick Ryan;Consumer
DW-13195;David Wiener;Corporate
KE-16420;Katrina Edelman;Corporate
EM-14140;Eugene Moren;Home Office
SS-20140;Saphhira Shifley;Corporate
MS-17530;MaryBeth Skach;Consumer
SV-20935;Susan Vittorini;Consumer
DM-13015;Darrin Martin;Consumer
HW-14935;Helen Wasserman;Corporate
CL-12700;Craig Leslie;Home Office
LB-16735;Larry Blacks;Consumer
TD-20995;Tamara Dahlen;Consumer
AC-10420;Alyssa Crouse;Corporate
PJ-18835;Patrick Jones;Corporate
SG-20890;Susan Gilcrest;Corporate
TS-21505;Tony Sayre;Consumer
RE-19405;Ricardo Emerson;Consumer
